xs,ys_bottom,ys_top,num_points,putty_depth
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.005706500567312506, -0.002350574211463591, 0.021494366873123616, 0.0045628164901097, 0.02399729143871615, 0.0038364987858179878, 0.020020977901833825, -0.0022758513226462107, 0.025199873785117816, 0.023651648859431773, 0.016512232076264954, 0.0006287135479026984, 0.0016114540625170315, 0.012784834117618965, 0.01345897214599226, -0.0012832794352542753, 0.0214174157010997, 0.01989678301300879, 0.0006551802202539869, -0.005500000000000005]","[0.3055, 0.28495379795546016, 0.29223124651501076, 0.3020565243433343, 0.28558490246423257, 0.30354867582013556, 0.2981896754998969, 0.28065184450466746, 0.2824281261185122, 0.30305485491509176, 0.2765491489572934, 0.28013345872554374, 0.2890517530608521, 0.2940323572716934, 0.2781377545488153, 0.2907060316924118, 0.29069167705427007, 0.2965138962022845, 0.30506887889195444, 0.27936551224871475, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.008284812357817528, 0.015296025748096409, 0.017742865264012475, 0.0018296986344238375, -0.005307720013075612, -0.0031827798246853445, 0.024926728936979947, 0.002451657769345944, 0.01424958445630728, 0.016169240642520205, 0.02039664272597616, 0.019798819335645784, -0.0006983809781037353, 0.011895730370360957, 0.01696234198355709, -0.0009479579598643817, 0.02454065043361764, 0.01740873311517832, 0.008776162222292216, -0.005500000000000005]","[0.3055, 0.28095800331478815, 0.29056116720115976, 0.30367958668898654, 0.2753318557377755, 0.2988969327917709, 0.3006650223030064, 0.30292301668543953, 0.29519901131263954, 0.2803738689211056, 0.29842584681056794, 0.2977948081074826, 0.3049022603364535, 0.27634798254164933, 0.2746245396191283, 0.2763370554128689, 0.2928151115588515, 0.2926514271378186, 0.2794867202756732, 0.2880312145531436, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.011920451798968668, -0.003732942326813621, 0.025015758245797617, 0.019288188737712875, 0.02404128529073979, 0.02012613320726253, 0.0042522667809080095, 0.011658479807110655, 0.01735221272003923, 0.009272436131745304, 0.0015016185995265774, 0.004185769974438702, 0.004428100909521254, 0.012895931500304297, 0.005773641636747151, 0.012819777483981276, 0.0042296789652735145, -0.005341724560772587, 0.015125497481960709, -0.005500000000000005]","[0.3055, 0.2991550357947611, 0.2916012383140063, 0.27757239126112976, 0.2963248345442986, 0.2766334372323206, 0.2887788596402886, 0.29972618192131595, 0.303059096062959, 0.2964702994732389, 0.28298523758038285, 0.288449970025561, 0.28545118803236386, 0.28277157830050276, 0.2809317494126319, 0.27692370809956096, 0.2963170844601618, 0.2941961963299482, 0.30235163695777845, 0.2836298020600227, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.0042154251231894535, 0.014987554742255521, 0.010981121113277398, 0.0163928551947424, 0.0041720401812548324, 0.01170533741490637, 0.022056561614983233, 0.023880204348490447, 0.014649721326855464, 0.015284582270469887, -0.0004506994207202075, 0.005042086101240795, 0.009814865995459304, 0.01635909025279006, 0.0020007817846069975, 0.018823196781844853, 0.020117439305637974, 0.014241734685129681, 0.009682300295530799, -0.005500000000000005]","[0.3055, 0.2903110364052849, 0.2913769810299997, 0.2974957345347732, 0.2749195226045461, 0.27562098894707865, 0.29347595316526265, 0.3004256965283972, 0.29401287515291363, 0.2931199602384076, 0.2762702756405697, 0.29884165312522376, 0.29304245144618524, 0.30324953017887957, 0.2904122063656329, 0.2937823995171508, 0.2831776386813518, 0.2768055439997654, 0.3016271156803767, 0.29817714852703797, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.017161404496990718, 0.02312977914035494, 0.001552865330200992, -0.004996803337357747, 0.009028386680979467, 0.009530221360383506, 0.007835273041502916, 0.00362965152739006, -0.0011578945730834622, 0.01566002810407821, 0.01453147624558021, 0.007810812367948394, 0.023561697358032624, 0.008078733514185116, 0.02204690840083426, 0.007573514537624143, 0.013052887727552975, 0.020906415806699163, 0.013941958405603527, -0.005500000000000005]","[0.3055, 0.2772814714582964, 0.27560746625506505, 0.28997862758579773, 0.3052283256915773, 0.28737863400994423, 0.27776225324004195, 0.2854263000993177, 0.30188185254487143, 0.2999266442622684, 0.28163790558436663, 0.28069556803459395, 0.3024355062775679, 0.3003234911412982, 0.277130319504714, 0.29010601139614905, 0.2930344984813755, 0.27893676994386746, 0.30473636280212935, 0.29697279587380415, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.007789760682019142, -0.0001841163103512844, 0.020270018499811387, 0.010925746728739999, 0.006672238000380776, 0.007491602150567794, 0.010157346459506805, 0.02189604806980852, 0.008918809653581161, 0.00021098004093123013, 0.02071439905965608, 0.006527420019742991, -0.00019741613971652194, 0.022670816505836466, 0.00909772713516821, 0.011276338706013078, -0.0013501797309947716, 0.02088851304028863, -0.0019376412139096022, -0.005500000000000005]","[0.3055, 0.28697896106624143, 0.29388403571673605, 0.2817447353039102, 0.27667596333487177, 0.2872575452014946, 0.3039373744791833, 0.2821043716648597, 0.29500971683672356, 0.2877358613274223, 0.2890622888742344, 0.27480509543541143, 0.30199350586956164, 0.29451758345302204, 0.28594919448945044, 0.2749902726252764, 0.2804430045871838, 0.28995051540703276, 0.3003768910197986, 0.29374404198578785, 0.3055]",20,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0016375527267640522, 0.0031800420262491635, 0.034549232793782345, 0.01599532998172637, 0.004497302868570391, 0.014901896317296354, -0.002812141460898726, 0.006002990455182211, 0.012137027064371586, -0.005500000000000005]","[0.3055, 0.29965432069688513, 0.30527126074361616, 0.2649011070682393, 0.2654193033856086, 0.2816118017749789, 0.30480096397318535, 0.28748319705361614, 0.27601472270590904, 0.29590581259529125, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.004195872689337743, -0.0010653014369633451, 0.003211834902170113, 0.02891412523719264, 0.006555744855877954, -0.003230574974155881, 0.03064730775411284, 0.034940263080911776, -0.002262513473155564, -0.005500000000000005]","[0.3055, 0.27339096539057495, 0.2988741956257518, 0.2677371321146458, 0.28689056599256035, 0.27272823432577026, 0.301944937233261, 0.2986862735146938, 0.30070568944170184, 0.29140286370134966, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0018109947785570346, 0.02442105565273872, 0.007649788094589133, -0.005253199485026561, 0.01525595259704074, 0.03410604190536998, -0.0038159589641355296, 0.00134809912788722, 0.01870587917685687, -0.005500000000000005]","[0.3055, 0.29192274669183627, 0.28825313817313636, 0.3036886978360589, 0.30029203899816137, 0.2968931185850312, 0.2647161993119316, 0.2781193029080608, 0.28263028782693883, 0.2782937556712064, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.010147089636009327, 0.005909074725254315, 0.020968411508546086, 0.032283488762444454, 0.007670871517308969, 0.0013925946288590452, -0.0013467338413687968, 0.008307175069895645, -0.0008147899579764584, -0.005500000000000005]","[0.3055, 0.29483512031375053, 0.2912867265432024, 0.2915973363472274, 0.26795534520277514, 0.29171130601561307, 0.29444761077224, 0.2777772350550298, 0.2707848546931257, 0.29307561484608724, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.026856819952444058, -0.0051210757252616035, -0.001326617889226167, 0.01307786792928467, 0.034877484726409475, -0.0001325414163056149, -0.004055184288083186, -0.0022072352103339465, -0.0037887733692234526, -0.005500000000000005]","[0.3055, 0.29636487089816027, 0.29308123985416823, 0.3039148442394397, 0.2678711129994296, 0.29300973972571276, 0.2821569123055749, 0.29272609587281395, 0.26682223867092697, 0.26478113985679363, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.00033980610605893746, 0.03525287037008458, 0.0037478060331685437, -0.004514592137713241, 0.025851253426740634, -0.0012657350115995725, -0.0033974065026470823, -0.001471014416670774, 0.005470606496865454, -0.005500000000000005]","[0.3055, 0.26551144569903856, 0.30431161008998475, 0.29958586437545254, 0.2889637112160892, 0.27373179389593627, 0.27027136396830354, 0.27876848290838274, 0.27489067641663917, 0.2989487434305955, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.0010929009378274068, 0.019720593716951673, 0.0327999328241754, 0.019062104417991138, 0.008902247240452327, 0.009333339196347407, 0.013646877053998613, 0.004030865893757174, 0.0035380083214998914, -0.005500000000000005]","[0.3055, 0.27790906226629986, 0.3050900451910572, 0.26940968958762923, 0.28254508223290387, 0.2994746161554015, 0.3053495717112038, 0.30419947581487494, 0.2646594292619362, 0.2968601063460957, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0037910306142174277, 0.01143743466616845, -0.00443306613304445, -0.0009555286172963917, 0.00028862822077171946, 0.0010853108344445195, 0.02261564900682339, 0.03562066489025373, 0.024868600474147184, -0.005500000000000005]","[0.3055, 0.26412634756504955, 0.2870334298687875, 0.2975409615003789, 0.27812495491601774, 0.2925192032813737, 0.3021687597265184, 0.30107266994375786, 0.30316823534013915, 0.2697011577367973, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0016228529584225715, 0.007427609831931747, -0.0025681763979772954, 0.03517986150745299, -0.0003872698007287012, -0.004083733724989158, -0.0025801784069446054, 0.0334996039908374, 0.01374089207924492, -0.005500000000000005]","[0.3055, 0.27847897346627154, 0.2822101654414253, 0.27440196056687305, 0.2657023227841648, 0.30388668134887, 0.29392426359821044, 0.30222312322160644, 0.26794498894089097, 0.29399187912823443, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.0005830566813003202, 0.03578545342738372, -0.002472651234551898, 0.028657926543428927, 0.0020487840672746005, 0.00727541905911655, 0.016052554083520743, 0.01487687824488998, 0.02295608908724256, -0.005500000000000005]","[0.3055, 0.29361205295749904, 0.2722348562889704, 0.2918782012183836, 0.283321453218211, 0.30122030411935735, 0.3005870299349065, 0.292101770491469, 0.2656418950463195, 0.30282157713905966, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.017340817707875017, 0.031854218502564355, -0.002958526842593845, 0.023472649640747884, 0.005640152814704258, 0.023459026568631913, -0.0006542195733592882, 0.0334032094736897, -0.0007573790552021786, -0.005500000000000005]","[0.3055, 0.28782786406559185, 0.30203540760728587, 0.2995248683634534, 0.280916698206354, 0.2674155500576093, 0.29044310805018325, 0.29568847730746983, 0.2997372875117448, 0.2962237303390643, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.007768003487466785, -0.0003804601264647267, -0.0024727648487590237, 0.03363874358606064, -0.0027215748924079575, 0.021337539096421776, 0.02238849849085392, 0.01934860411260425, -0.0009987602132733864, -0.005500000000000005]","[0.3055, 0.2985827705964128, 0.27347130692016025, 0.29930773857950305, 0.29675151088232843, 0.2927689835658419, 0.2765351458249883, 0.2649059067350425, 0.3022637693902803, 0.2859333784227749, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.001424501632928954, -0.00515627304607541, 0.03239210335762109, 0.020032878173235652, -0.0042242118953360885, 0.027463225877087674, 0.009952061515950711, -0.0015945393891521886, 0.008505052047063422, -0.005500000000000005]","[0.3055, 0.2957989995104495, 0.30129994396085613, 0.2920669773863871, 0.28482151318367777, 0.2933123994935902, 0.266178940482695, 0.30242659063471455, 0.26528730161423797, 0.2853612981435437, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.020928298855341754, -0.003504520941386674, 0.03292806791679137, 0.019469053360752386, 0.01717781571643573, 0.0032067528171594584, 0.02108383676277678, 0.022410199656101804, 0.0025836048838790426, -0.005500000000000005]","[0.3055, 0.2939351864114198, 0.26584084016836135, 0.28541286442087654, 0.2945128843012875, 0.2943406409986996, 0.3003311190384039, 0.29738450428665186, 0.29757871355200105, 0.3026899071164988, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.011994525611035117, 0.0038394715558694448, 0.009817018410312739, 0.010530814103918096, 0.003840074926525966, 0.01070097565100725, 0.017540958086999847, -0.0030135976608243464, 0.03421823650479243, -0.005500000000000005]","[0.3055, 0.3004366791443133, 0.292944005888058, 0.2675689064724051, 0.28021805396402577, 0.29658249273264903, 0.29009858037895087, 0.28168962108241713, 0.29506970859742454, 0.3036119118446567, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.0005806142072095621, 0.00902437296605843, -7.939260128375647e-06, 0.00217954800457007, 0.006215671604358597, -0.0036920019828186046, 0.02412203612619951, -0.004806806645628492, 0.035554500789363216, -0.005500000000000005]","[0.3055, 0.3030536519043294, 0.267704458172728, 0.2991624429685936, 0.28520103766493515, 0.27639925721724357, 0.27956859793869854, 0.2841063926616927, 0.27210880243350555, 0.2930642081448449, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.0017475776408145127, 0.015287545644393302, 0.00013963773524022782, 0.00567064911073803, 0.02564764417091628, -0.003894965794679489, 0.03307451971783823, 0.01635509867004642, 0.019285654428039423, -0.005500000000000005]","[0.3055, 0.28509899642336645, 0.29951393533094284, 0.3015631364040308, 0.29223855991172654, 0.2652553946336347, 0.2971753264788669, 0.2869025661957474, 0.2736268217307838, 0.30310658266109713, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.0011335415235994295, 0.03561479695478928, 0.0031663860952556577, 0.026999628902283815, 0.027485738002805266, -0.0025488455814858813, 0.01129736957674804, 0.008808021679925698, 0.01309201116719172, -0.005500000000000005]","[0.3055, 0.3009988120517111, 0.2824977070462206, 0.28897738086747904, 0.29667147400644356, 0.29210859686774415, 0.2987430583148802, 0.2915098581225822, 0.3005526620207243, 0.2665771160952586, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.007976544255451412, -0.003982872940467064, 0.011106929273119875, 0.023171508691061354, 0.02523495800392027, 0.006361944864244157, -0.0035467937918424175, 0.03321177751409092, -0.0051950555117375175, -0.005500000000000005]","[0.3055, 0.2894172627313609, 0.28284584189882817, 0.3004061366251167, 0.29190243473071714, 0.2980966465266731, 0.2681333259294346, 0.2808046942057084, 0.2893543894719993, 0.2858764214376442, 0.3055]",10,0.04
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0008388890644320801, 0.02734393725316088, 0.004279466018500433, -0.002897949772871028, 0.022750686492141514, 0.03203407963657477, 0.013151441019541965, -0.004205266425870657, 0.02265013124714957, -0.005500000000000005]","[0.3055, 0.30150630008190893, 0.28878802985465796, 0.2646929572559552, 0.2704859880235402, 0.3039930288985012, 0.29378500387885564, 0.2973246806583991, 0.29255955331447336, 0.29723023451716046, 0.3055]",10,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.01689658955509951, -0.0020481515119022964, -0.005053444539293794, -0.0007440462395001124, 0.03466855365696932, -0.0013021872595865847, 0.01127572160609086, 0.013533680258903863, 0.008246330451896322, 0.020963735770592212, 0.0017339926388277027, -0.00195458030109405, 0.0005056930187075648, -0.005436961492961134, 0.005399751654698914, 0.02368309320227252, -0.0010668691275684816, 0.03211206687810639, -0.0020306264320482104, -0.005500000000000005]","[0.3055, 0.2643466619020291, 0.2907222930950788, 0.2979932079348435, 0.2922303743810537, 0.2993375057747405, 0.2693371339594416, 0.3037630205265684, 0.29817620749806806, 0.302876974182276, 0.28854114725734575, 0.30304715095933465, 0.2672945828277893, 0.28484267721731504, 0.26891023324687846, 0.3053236307719215, 0.27069451986787907, 0.2664346879223868, 0.278266462894822, 0.2895757129874047, 0.3055]",20,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.0016203981572472381, 0.010639432735482263, 0.008076078916979229, 0.004025647128379994, 0.003780687929552884, 0.011959507459110147, 0.004440473148067392, 0.02362659887748922, 0.028149483089607838, 0.01504946654510611, 0.0018604081953677853, 0.025950813037518963, 0.008100260332020132, 0.0353579156364657, 0.007187971263158427, -0.001045195918773889, 0.014204549372016873, 0.027846956011192053, 0.006756863952355252, -0.005500000000000005]","[0.3055, 0.3027887872011745, 0.29979628219333165, 0.29191890293607914, 0.30395729774560154, 0.2762130853365799, 0.2678170553244344, 0.2942375736580365, 0.2956803275654871, 0.2990073356348474, 0.2767491081526654, 0.3001912549635717, 0.2970338606492201, 0.30121191327159413, 0.28847798817145587, 0.2925354792947936, 0.26850522967525003, 0.3039978781046276, 0.2853312298910345, 0.2767724977445456, 0.3055]",20,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, -0.0008852081755051644, 0.03214480023618367, 0.007499231180086052, 0.012508866951295355, 0.029467933715054184, -0.0005675339623970876, 0.015019208744272122, 0.0314552249859312, -0.0010037501024741935, -0.0017813782942486533, -0.004330769506752208, 0.010806895576454645, 0.026546040922209302, 0.02982941616066284, 0.0013703601123478681, -0.0034308725920312033, 0.010273403989185942, -0.002079522052881505, -0.0006656798706347888, -0.005500000000000005]","[0.3055, 0.2890984171560236, 0.30378752716047897, 0.29458676518641674, 0.2944702277907505, 0.26679085374293277, 0.2661348381350515, 0.268585272996615, 0.3042658610756528, 0.30024715886453046, 0.27075124840974796, 0.27700524178867747, 0.3009689328869114, 0.3021385711171633, 0.30339615373265066, 0.3008031554687467, 0.2729149797258682, 0.2821414094633397, 0.29786353793354514, 0.29310946277523425, 0.3055]",20,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.0027693606031922446, 0.008295111810075362, 0.012354072665403476, 0.0010960439972633462, -0.0035589609251852616, 0.004036218669763725, -0.0047954308146326285, -0.004465868941788104, 0.03151795034305266, 0.02653308992192041, 0.008207403530166524, 0.01838480733388914, 0.034976924278821125, 0.004227490954109292, 0.034225171745034755, 0.02575080608406373, 0.005842435932761125, 0.0005327894093549446, 0.019832159908727165, -0.005500000000000005]","[0.3055, 0.2910063803238877, 0.2967964848999297, 0.3051607117388757, 0.2982305313913741, 0.29055679271958335, 0.3024547756332562, 0.30228155904087517, 0.28723454224217315, 0.28362515509073377, 0.27263033750125104, 0.2764241411895758, 0.27173243635062666, 0.30498505399341747, 0.28175277589888686, 0.30016697404910453, 0.26447078221156284, 0.2965146616793559, 0.29618034395740894, 0.295884778444491, 0.3055]",20,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, -0.004628410319987175, 0.0076892608351736835, 0.0007823308534792572, 0.017046549212728995, -0.00395677274794079, 0.0017628818552771486, 0.010951850716759887, 0.021097815026540317, 0.02497687953948738, 0.028387651488012977, -0.0015682092333947906, 0.01778741799761474, 0.026348739057024145, -0.0049911829308292854, 0.010451695338716399, -0.0030688675220651995, 0.0268039441505417, 0.035072212364766445, 0.002713449917331856, -0.005500000000000005]","[0.3055, 0.2777671435726122, 0.2812328581644341, 0.2980142029321791, 0.3031656667653688, 0.2732245252944353, 0.26615422847522663, 0.2774953490457763, 0.29559461685129285, 0.2895501921406856, 0.29355279422383007, 0.28315110939998767, 0.3050306638063781, 0.3017383245495162, 0.29195805101099404, 0.26520759193225246, 0.291444855758757, 0.2999295176364327, 0.3048186741158114, 0.30417643339808387, 0.3055]",20,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.0029744750177793378, -0.002286514627801134, 0.012662709608725564, 0.00161997467915298, -0.0046137388764898035, -0.00041212170925095104, 0.011145497061937043, 0.0321114925297042, 0.0045869001411884824, 0.008185262567609097, 0.034744083669536824, 0.00046555965139913336, 0.008834337369311412, 0.01860908471759326, 0.015912909214470417, 0.004881990146818865, -0.001696512443379733, 0.004443624552165709, 5.815740728631891e-05, -0.005500000000000005]","[0.3055, 0.2724474502593862, 0.2911050843133587, 0.2784398896413016, 0.2877146071064988, 0.30365286390395785, 0.27233150446010895, 0.28389082226675694, 0.3039660357822738, 0.26468304072612187, 0.28231128290194285, 0.29751615733174985, 0.2821270428698391, 0.2645612910981659, 0.30252752638322855, 0.2869202708880867, 0.30405996521316725, 0.2969703289590402, 0.2997596205213991, 0.28621525872099346, 0.3055]",20,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, -0.0037856324929657625, 0.020127006254550356, -0.005412552803061715, 0.014767367648482854, 0.022297310440202084, 0.030915147314793376, 0.009833402218254128, -0.0035528580798450116, 0.01185938303575687, 0.03538854952665163, 0.026329208451144046, 0.007072971445579279, 0.014826067918601887, 0.02113337915732852, -0.0014179065284605497, -0.000659395464913004, 0.02711625722082517, 0.0158724377956104, 0.00836421329283879, -0.005500000000000005]","[0.3055, 0.30527154627218095, 0.30262049346951214, 0.3038295293168849, 0.279811227458516, 0.2662165294446926, 0.2754663517680388, 0.2953623694131964, 0.3006859810653879, 0.305468684441558, 0.2899494426243858, 0.2833779532064703, 0.29616557860853565, 0.29512399058908495, 0.2837512088336611, 0.2892089839235978, 0.27498942111875757, 0.29172987848966225, 0.30011398526192484, 0.29852739031296327, 0.3055]",20,0.04
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.03397159090850657, 0.026974156715454584, 0.0006761404125366077, 0.014721409928789536, -0.005301814584235759, 0.031113199703634034, -0.0009579057335513119, 0.02117263479336287, -0.0020413429515548087, 0.011512136473860485, -0.003012025367264609, 0.005342344197132115, -0.00038333748042179705, 0.004303628293103573, -0.005018292098739802, 0.007865711184826485, 0.03524655781022, 0.02280483251539364, 0.006158370292230597, -0.005500000000000005]","[0.3055, 0.3037506957582571, 0.2895091064756503, 0.29635485828741853, 0.2941049453833785, 0.3025667750187263, 0.2885244186185071, 0.2797657221200171, 0.2974853429680196, 0.2646709224801329, 0.27433507454995837, 0.28415593803660055, 0.27185908384152235, 0.27561434294445725, 0.2720065967341244, 0.3039511071023897, 0.3008667069193365, 0.29327677680905295, 0.3047352600206028, 0.2994334586093619, 0.3055]",20,0.04
